exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.3692913200000003	0.37291955947875977	1963219523	100000	1000	14231326720
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	12.635211291999997	0.64139556884765625	1963219523	100000	1000	14231326720
print(x)	0.2116216289999997	0.19867348670959473	1963219523	100000	1000	14231326720
a <- head(x)	0.0031644570000004535	0.003165721893310547	1963219523	100000	1000	14231326720
b <- tail(x)	0.0032493019999968453	0.003250598907470703	1963219523	100000	1000	14231326720
c <- sample_n(x, 100)	0.019235631000000808	0.019237041473388672	1963219523	100000	1000	14231326720
d <- filter(x, X1 > 3)	0.09179619800000083	0.02236795425415039	1963219523	100000	1000	14231326720
e <- group_by(x, as.integer(X2)) %>% summarise(avg_X1 = mean(X1))	0.06981897799999714	0.06981945037841797	1963219523	100000	1000	14231326720
