exprs	process	real	size	rows	cols	max_memory
({ library(arrow) library(dplyr) })	0.4303630250000001	0.4343757629394531	1963219523	100000	1000	18948120576
"x <- read_tsv_arrow(file, quote = """", na = character(), as_data_frame = FALSE)"	88.251968376	3.703080415725708	1963219523	100000	1000	18948120576
print(x)	0.414359907000005	0.41437268257141113	1963219523	100000	1000	18948120576
a <- head(x)	0.0020881309999936093	0.002091646194458008	1963219523	100000	1000	18948120576
b <- tail(x)	0.14432591499999603	0.14433050155639648	1963219523	100000	1000	18948120576
c <- x[sample(NROW(x), 100), ]	1.970175858999994	1.6575634479522705	1963219523	100000	1000	18948120576
d <- x[x$X1 > 3, ]	4.022632418000001	4.0140135288238525	1963219523	100000	1000	18948120576
e <- group_by(x, X2) %>% summarise(avg_X1 = mean(X1))	0.6532049399999948	0.6122033596038818	1963219523	100000	1000	18948120576
