exprs	process	real	size	rows	cols	max_memory
library(vroom)	0.18520711599999995	0.18842411041259766	1963219523	100000	1000	12143136768
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	58.958636225	6.358473300933838	1963219523	100000	1000	12143136768
print(x)	0.21534877899999572	0.2153468132019043	1963219523	100000	1000	12143136768
a <- head(x)	0.002098964999987629	0.0021009445190429688	1963219523	100000	1000	12143136768
b <- tail(x)	0.0022122800000090592	0.002214193344116211	1963219523	100000	1000	12143136768
c <- x[sample(NROW(x), 100), ]	0.004538926999998694	0.004540920257568359	1963219523	100000	1000	12143136768
d <- x[x$X1 > 3, ]	0.0056679979999927355	0.005669593811035156	1963219523	100000	1000	12143136768
e <- tapply(x$X1, as.integer(x$X2), mean)	0.0077192509999974845	0.007720947265625	1963219523	100000	1000	12143136768
