exprs	process	real	size	rows	cols	max_memory
library(vroom)	0.18657943799999988	0.19002294540405273	1963219523	100000	1000	14211629056
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	10.145304681999999	0.6629595756530762	1963219523	100000	1000	14211629056
print(x)	0.24458867000000062	0.23135828971862793	1963219523	100000	1000	14211629056
a <- head(x)	0.0034852169999997074	0.00348663330078125	1963219523	100000	1000	14211629056
b <- tail(x)	0.003503788999999813	0.0035049915313720703	1963219523	100000	1000	14211629056
c <- x[sample(NROW(x), 100), ]	0.0042323579999994365	0.004233598709106445	1963219523	100000	1000	14211629056
d <- x[x$X1 > 3, ]	0.07940139499999965	0.012578725814819336	1963219523	100000	1000	14211629056
e <- tapply(x$X1, as.integer(x$X2), mean)	0.03533702700000063	0.03533792495727539	1963219523	100000	1000	14211629056
