exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.3708420350000008	0.3746933937072754	1963219523	100000	1000	12144570368
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	61.394081036	6.450859069824219	1963219523	100000	1000	12144570368
print(x)	0.19082395099999871	0.19082260131835938	1963219523	100000	1000	12144570368
a <- head(x)	0.0019356690000051913	0.0019373893737792969	1963219523	100000	1000	12144570368
b <- tail(x)	0.0022244200000045566	0.002226591110229492	1963219523	100000	1000	12144570368
c <- sample_n(x, 100)	0.026789116999992757	0.026790857315063477	1963219523	100000	1000	12144570368
d <- filter(x, X1 > 3)	0.017510450000003175	0.017512083053588867	1963219523	100000	1000	12144570368
e <- group_by(x, as.integer(X2)) %>% summarise(avg_X1 = mean(X1))	0.047860666999994805	0.04786181449890137	1963219523	100000	1000	12144570368
