exprs	process	real	size	rows	cols	max_memory
({ library(arrow) library(dplyr) })	0.4226463640000002	0.4260225296020508	1681610033	14776615	11	23151534080
"x <- read_csv_arrow(file, quote = """", na = character())"	30.985794561999995	6.673993110656738	1681610033	14776615	11	23151534080
print(x)	0.10329356300000114	0.10329651832580566	1681610033	14776615	11	23151534080
a <- head(x)	2.0465600000107997e-4	2.071857452392578e-4	1681610033	14776615	11	23151534080
b <- tail(x)	4.4982400000037615e-4	4.525184631347656e-4	1681610033	14776615	11	23151534080
c <- x[sample(NROW(x), 100), ]	3.249640000007048e-4	3.2830238342285156e-4	1681610033	14776615	11	23151534080
"d <- filter(x, payment_type == ""UNK"") %>% collect()"	0.21469264399999588	0.21469688415527344	1681610033	14776615	11	23151534080
e <- group_by(x, payment_type) %>% summarise(avg_tip = mean(tip_amount))	1.1280361110000001	1.1278815269470215	1681610033	14776615	11	23151534080
