exprs	process	real	size	rows	cols	max_memory
library(data.table)	0.06057831000000036	0.060579776763916016	1681610033	14776615	11	10697052160
"x <- fread(file, sep = "","", quote = """", strip.white = FALSE, na.strings = NULL)"	31.791406921999997	19.25552201271057	1681610033	14776615	11	10697052160
print(x)	0.08298297400000365	0.016010046005249023	1681610033	14776615	11	10697052160
a <- head(x)	4.235820000033641e-4	4.2629241943359375e-4	1681610033	14776615	11	10697052160
b <- tail(x)	3.756899999984853e-4	3.783702850341797e-4	1681610033	14776615	11	10697052160
c <- x[sample(NROW(x), 100), ]	9.345690000017726e-4	9.377002716064453e-4	1681610033	14776615	11	10697052160
"d <- x[payment_type == ""UNK"", ]"	0.7005565380000007	0.12375235557556152	1681610033	14776615	11	10697052160
e <- x[, .(mean(tip_amount)), by = payment_type]	2.3040245589999984	0.20698833465576172	1681610033	14776615	11	10697052160
