exprs	process	real	size	rows	cols	max_memory
({ library(readr) library(dplyr) })	0.3688969989999995	0.3722376823425293	1712562547	15004556	11	14028177408
"x <- read_csv(file, col_types = c(pickup_datetime = ""c""), quote = """", trim_ws..."	35.488897855	35.48850417137146	1712562547	15004556	11	14028177408
print(x)	0.09433996100000286	0.09434008598327637	1712562547	15004556	11	14028177408
a <- head(x)	2.0855000000352675e-4	2.0956993103027344e-4	1712562547	15004556	11	14028177408
b <- tail(x)	4.8479300000536796e-4	4.8613548278808594e-4	1712562547	15004556	11	14028177408
c <- sample_n(x, 100)	0.00912231800000285	0.009123802185058594	1712562547	15004556	11	14028177408
"d <- filter(x, payment_type == ""UNK"")"	0.21650147999999803	0.21649956703186035	1712562547	15004556	11	14028177408
e <- group_by(x, payment_type) %>% summarise(avg_tip = mean(tip_amount))	0.49742283899999507	0.497422456741333	1712562547	15004556	11	14028177408
