exprs	process	real	size	rows	cols	max_memory
({ library(arrow) library(dplyr) })	0.4228886189999992	0.42817020416259766	1712562547	15004556	11	26730229760
"x <- read_csv_arrow(file, quote = """", na = character(), as_data_frame = FALSE)"	22.949142690000002	0.722578763961792	1712562547	15004556	11	26730229760
print(x)	0.04650032400000015	0.044952392578125	1712562547	15004556	11	26730229760
a <- head(x)	8.167609999993886e-4	8.199214935302734e-4	1712562547	15004556	11	26730229760
b <- tail(x)	0.0018669639999977505	0.0018706321716308594	1712562547	15004556	11	26730229760
c <- x[sample(NROW(x), 100), ]	0.7660821939999991	0.6095983982086182	1712562547	15004556	11	26730229760
"d <- x[x$payment_type == ""UNK"", ]"	0.4737522030000001	0.3081047534942627	1712562547	15004556	11	26730229760
e <- group_by(x, payment_type) %>% summarise(avg_tip = mean(tip_amount))	1.969522094000002	1.4404761791229248	1712562547	15004556	11	26730229760
