exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.3659172670000004	0.36910104751586914	1712562547	15004556	11	15390949376
"x <- vroom(file, col_types = c(pickup_datetime = ""c""), trim_ws = FALSE, quote..."	19.06111846	0.6939351558685303	1712562547	15004556	11	15390949376
print(x)	0.12833695399999812	0.12640690803527832	1712562547	15004556	11	15390949376
a <- head(x)	1.8548500000292734e-4	1.86920166015625e-4	1712562547	15004556	11	15390949376
b <- tail(x)	3.84862999997182e-4	3.859996795654297e-4	1712562547	15004556	11	15390949376
c <- sample_n(x, 100)	0.009613510000001213	0.0096149444580078125	1712562547	15004556	11	15390949376
"d <- filter(x, payment_type == ""UNK"")"	1.7175043209999998	1.7175369262695312	1712562547	15004556	11	15390949376
e <- group_by(x, payment_type) %>% summarise(avg_tip = mean(tip_amount))	4.589050554	4.589152812957764	1712562547	15004556	11	15390949376
