exprs	process	real	size	rows	cols	max_memory
"({ library(arrow) library(reticulate) use_condaenv(""cudf"") cudf <- import(""cu..."	2.3674660750000003	3.0490682125091553	1712562547	15004556	11	32678264832
x <- cudf$read_csv(file)	2.796592416	2.802410840988159	1712562547	15004556	11	32678264832
print(x)	0.22892293900000027	0.22884488105773926	1712562547	15004556	11	32678264832
a <- x$head()	0.0038011549999996674	0.003802776336669922	1712562547	15004556	11	32678264832
b <- x$tail()	0.0039436849999994195	0.003945350646972656	1712562547	15004556	11	32678264832
c <- x$take(sample(x$shape[[1]], 100) - 1L)	0.006186843000000053	0.006188392639160156	1712562547	15004556	11	32678264832
"d <- x$take(which(as.vector(x$payment_type$to_arrow() == ""UNK"")))"	1.0566201	1.056260108947754	1712562547	15004556	11	32678264832
"e <- x$groupby(""payment_type"")$tip_amount$mean()"	0.12809824200000008	0.12905550003051758	1712562547	15004556	11	32678264832
