exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.10324468499999995	0.10324501991271973	709936880	2342339	37	12242731008
x <- vroom_fwf(file, fields, col_types = types, altrep_opts = FALSE)	35.804361534	13.098374128341675	709936880	2342339	37	12242731008
print(x)	0.12113831500000316	0.12113761901855469	709936880	2342339	37	12242731008
a <- head(x)	3.642679999984466e-4	3.657341003417969e-4	709936880	2342339	37	12242731008
b <- tail(x)	6.0394399999808e-4	6.053447723388672e-4	709936880	2342339	37	12242731008
c <- sample_n(x, 100)	0.013036290000002282	0.013037681579589844	709936880	2342339	37	12242731008
"d <- filter(x, PERSONS == ""06"")"	0.41870674999999835	0.4187006950378418	709936880	2342339	37	12242731008
e <- group_by(x, STATE) %>% summarise(avg_TOTPUM5 = mean(TOTPUMA5))	0.08304744899999861	0.08304786682128906	709936880	2342339	37	12242731008
