exprs	process	real	size	rows	cols	max_memory
({ })	3.4910000001886488e-6	5.0067901611328125e-6	709936880	2342339	37	14993313792
x <- read.fwf(file, widths = fields$width, col.names = fields$col_names)	963.864307145	1053.8027939796448	709936880	2342339	37	14993313792
print(head(x, 10))	0.01941813300004469	0.019881725311279297	709936880	2342339	37	14993313792
a <- head(x)	9.486190000416173e-4	9.49859619140625e-4	709936880	2342339	37	14993313792
b <- tail(x)	0.0011920729999701507	0.0011935234069824219	709936880	2342339	37	14993313792
c <- x[sample(NROW(x), 100), ]	0.0025340710000136824	0.002535581588745117	709936880	2342339	37	14993313792
"d <- x[x$PERSONS == ""06"", ]"	0.34628104099999746	0.34627628326416016	709936880	2342339	37	14993313792
e <- tapply(x$TOTPUMA5, x$STATE, mean)	0.09248133199992026	0.09248161315917969	709936880	2342339	37	14993313792
