exprs	process	real	size	rows	cols	max_memory
({ library(arrow) library(dplyr) })	0.4159772860000004	0.4230482578277588	490798139	1000000	25	13840416768
"x <- read_tsv_arrow(file, quote = """", na = character(), as_data_frame = FALSE)"	10.837061231	0.3448333740234375	490798139	1000000	25	13840416768
print(x)	0.07078691199999909	0.07079100608825684	490798139	1000000	25	13840416768
a <- head(x)	8.054790000002754e-4	8.089542388916016e-4	490798139	1000000	25	13840416768
b <- tail(x)	0.0015400449999987131	0.001543283462524414	490798139	1000000	25	13840416768
c <- x[sample(NROW(x), 100), ]	0.04825634999999906	0.06603288650512695	490798139	1000000	25	13840416768
d <- x[x$X1 > 3, ]	0.054323191999998244	0.05432581901550293	490798139	1000000	25	13840416768
e <- select(x, X1, X2) %>% collect() %>% group_by(as.integer(X2)) %>% summari...	0.17562500500000056	0.1579289436340332	490798139	1000000	25	13840416768
