exprs	process	real	size	rows	cols	max_memory
library(vroom)	0.18280984500000041	0.18670248985290527	490798139	1000000	25	9713610752
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	2.9187004440000006	0.27026987075805664	490798139	1000000	25	9713610752
print(x)	0.18458651299999929	0.17130088806152344	490798139	1000000	25	9713610752
a <- head(x)	2.6019299999902046e-4	2.620220184326172e-4	490798139	1000000	25	9713610752
b <- tail(x)	4.863510000010507e-4	4.8828125e-4	490798139	1000000	25	9713610752
c <- x[sample(NROW(x), 100), ]	0.002009845999999982	0.0020117759704589844	490798139	1000000	25	9713610752
d <- x[x$X1 > 3, ]	0.4953695319999998	0.03682732582092285	490798139	1000000	25	9713610752
e <- tapply(x$X1, as.integer(x$X2), mean)	0.2685723099999997	0.2685689926147461	490798139	1000000	25	9713610752
