exprs	process	real	size	rows	cols	max_memory
library(vroom)	0.18910947999999994	0.1927168369293213	490798139	1000000	25	9409232896
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	12.546183029	1.042351484298706	490798139	1000000	25	9409232896
print(x)	0.12647162500000064	0.12647104263305664	490798139	1000000	25	9409232896
a <- head(x)	2.217170000022861e-4	0.00022363662719726562	490798139	1000000	25	9409232896
b <- tail(x)	5.009989999997799e-4	0.00050258636474609375	490798139	1000000	25	9409232896
c <- x[sample(NROW(x), 100), ]	0.002326914000001068	0.002328634262084961	490798139	1000000	25	9409232896
d <- x[x$X1 > 3, ]	0.011529611000000273	0.01153111457824707	490798139	1000000	25	9409232896
e <- tapply(x$X1, as.integer(x$X2), mean)	0.10707853799999967	0.10822772979736328	490798139	1000000	25	9409232896
