exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.3800183070000003	0.38696956634521484	490798139	1000000	25	9411915776
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	12.503883368999999	0.9491996765136719	490798139	1000000	25	9411915776
print(x)	0.13796060499999996	0.13795995712280273	490798139	1000000	25	9411915776
a <- head(x)	2.1171299999878102e-4	2.1338462829589844e-4	490798139	1000000	25	9411915776
b <- tail(x)	4.6132399999976315e-4	4.630088806152344e-4	490798139	1000000	25	9411915776
c <- sample_n(x, 100)	0.01058182599999924	0.01058340072631836	490798139	1000000	25	9411915776
d <- filter(x, X1 > 3)	0.021199244000001727	0.021200895309448242	490798139	1000000	25	9411915776
e <- group_by(x, as.integer(X2)) %>% summarise(avg_X1 = mean(X1))	0.05721251699999996	0.057213544845581055	490798139	1000000	25	9411915776
