exprs	process	real	size	rows	cols	max_memory
({ })	3.1700000002743423e-6	5.245208740234375e-6	400248755	1000000	25	11261894656
"x <- read.delim(file, quote = """", na.strings = NULL, stringsAsFactors = FALSE)"	89.778580473	89.82224655151367	400248755	1000000	25	11261894656
print(head(x, 10))	0.00831882100000314	0.008320331573486328	400248755	1000000	25	11261894656
a <- head(x)	2.8536799999301365e-4	2.865791320800781e-4	400248755	1000000	25	11261894656
b <- tail(x)	5.308659999911924e-4	5.321502685546875e-4	400248755	1000000	25	11261894656
c <- x[sample(NROW(x), 100), ]	0.0012686470000033978	0.0012705326080322266	400248755	1000000	25	11261894656
"d <- x[x$X1 == ""helpless_sheep"", ]"	0.029024877999987098	0.029026269912719727	400248755	1000000	25	11261894656
e <- tapply(x$X2, x$X1, function(x) mean(nchar(x)))	0.433677234000001	0.43368005752563477	400248755	1000000	25	11261894656
