exprs	process	real	size	rows	cols	max_memory
library(vroom)	0.1880737959999994	0.1960155963897705	400248755	1000000	25	9658179584
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	3.1245592699999998	0.277543306350708	400248755	1000000	25	9658179584
print(x)	0.12327446499999972	0.12552618980407715	400248755	1000000	25	9658179584
a <- head(x)	2.0425599999995825e-4	2.0575523376464844e-4	400248755	1000000	25	9658179584
b <- tail(x)	4.02224999998424e-4	4.036426544189453e-4	400248755	1000000	25	9658179584
c <- x[sample(NROW(x), 100), ]	0.0018680920000004875	0.0018696784973144531	400248755	1000000	25	9658179584
"d <- x[x$X1 == ""helpless_sheep"", ]"	0.1581485219999994	0.16088628768920898	400248755	1000000	25	9658179584
e <- tapply(x$X2, x$X1, function(x) mean(nchar(x)))	2.0627131199999997	2.06522536277771	400248755	1000000	25	9658179584
