exprs	process	real	size	rows	cols	max_memory
({ library(arrow) library(dplyr) })	0.4287180580000003	0.43274736404418945	400248755	1000000	25	26600337408
"x <- read_tsv_arrow(file, quote = """", na = character())"	37.956095105	33.08669352531433	400248755	1000000	25	26600337408
print(x)	0.1096909179999983	0.10969305038452148	400248755	1000000	25	26600337408
a <- head(x)	1.9612899999543743e-4	1.990795135498047e-4	400248755	1000000	25	26600337408
b <- tail(x)	4.656919999987963e-4	4.684925079345703e-4	400248755	1000000	25	26600337408
c <- sample_n(x, 100)	0.010559032000003299	0.01056218147277832	400248755	1000000	25	26600337408
"d <- filter(x, X1 == ""helpless_sheep"")"	0.01576063999999633	0.01576375961303711	400248755	1000000	25	26600337408
e <- group_by(x, X1) %>% summarise(avg_nchar = mean(nchar(X2)))	0.30953620100000023	0.3095383644104004	400248755	1000000	25	26600337408
