exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.36296390600000006	0.36691761016845703	400248755	1000000	25	9628385280
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	2.8198033629999992	0.1787562370300293	400248755	1000000	25	9628385280
print(x)	0.14961493899999923	0.1496138572692871	400248755	1000000	25	9628385280
a <- head(x)	2.1631199999916362e-4	0.00021791458129882812	400248755	1000000	25	9628385280
b <- tail(x)	4.0083100000032346e-4	4.0221214294433594e-4	400248755	1000000	25	9628385280
c <- sample_n(x, 100)	0.008454324000000568	0.008455753326416016	400248755	1000000	25	9628385280
"d <- filter(x, X1 == ""helpless_sheep"")"	0.1717761289999995	0.1717815399169922	400248755	1000000	25	9628385280
e <- group_by(x, X1) %>% summarise(avg_nchar = mean(nchar(X2)))	1.0485543879999994	1.0485470294952393	400248755	1000000	25	9628385280
