reading_package	manip_package	op	type	time	size	max_memory	rows	cols
readr	dplyr	sample	process	0.01058423199999936	400248755	11051831296	1000000	25
readr	dplyr	sample	real	0.010585546493530273	400248755	11051831296	1000000	25
readr	dplyr	filter	process	0.015649363000001415	400248755	11051831296	1000000	25
readr	dplyr	filter	real	0.01565074920654297	400248755	11051831296	1000000	25
readr	dplyr	aggregate	process	0.3701701290000017	400248755	11051831296	1000000	25
readr	dplyr	aggregate	real	0.3701651096343994	400248755	11051831296	1000000	25
vroom	base	setup	process	0.1880737959999994	400248755	9658179584	1000000	25
vroom	base	setup	real	0.1960155963897705	400248755	9658179584	1000000	25
vroom	base	read	process	3.1245592699999998	400248755	9658179584	1000000	25
vroom	base	read	real	0.277543306350708	400248755	9658179584	1000000	25
vroom	base	print	process	0.12327446499999972	400248755	9658179584	1000000	25
vroom	base	print	real	0.12552618980407715	400248755	9658179584	1000000	25
vroom	base	head	process	2.0425599999995825e-4	400248755	9658179584	1000000	25
vroom	base	head	real	2.0575523376464844e-4	400248755	9658179584	1000000	25
vroom	base	tail	process	4.02224999998424e-4	400248755	9658179584	1000000	25
vroom	base	tail	real	4.036426544189453e-4	400248755	9658179584	1000000	25
vroom	base	sample	process	0.0018680920000004875	400248755	9658179584	1000000	25
vroom	base	sample	real	0.0018696784973144531	400248755	9658179584	1000000	25
vroom	base	filter	process	0.1581485219999994	400248755	9658179584	1000000	25
vroom	base	filter	real	0.16088628768920898	400248755	9658179584	1000000	25
vroom	base	aggregate	process	2.0627131199999997	400248755	9658179584	1000000	25
vroom	base	aggregate	real	2.06522536277771	400248755	9658179584	1000000	25
vroom	dplyr	setup	process	0.36296390600000006	400248755	9628385280	1000000	25
vroom	dplyr	setup	real	0.36691761016845703	400248755	9628385280	1000000	25
vroom	dplyr	read	process	2.8198033629999992	400248755	9628385280	1000000	25
vroom	dplyr	read	real	0.1787562370300293	400248755	9628385280	1000000	25
vroom	dplyr	print	process	0.14961493899999923	400248755	9628385280	1000000	25
vroom	dplyr	print	real	0.1496138572692871	400248755	9628385280	1000000	25
vroom	dplyr	head	process	2.1631199999916362e-4	400248755	9628385280	1000000	25
vroom	dplyr	head	real	0.00021791458129882812	400248755	9628385280	1000000	25
vroom	dplyr	tail	process	4.0083100000032346e-4	400248755	9628385280	1000000	25
vroom	dplyr	tail	real	4.0221214294433594e-4	400248755	9628385280	1000000	25
vroom	dplyr	sample	process	0.008454324000000568	400248755	9628385280	1000000	25
vroom	dplyr	sample	real	0.008455753326416016	400248755	9628385280	1000000	25
vroom	dplyr	filter	process	0.1717761289999995	400248755	9628385280	1000000	25
vroom	dplyr	filter	real	0.1717815399169922	400248755	9628385280	1000000	25
vroom	dplyr	aggregate	process	1.0485543879999994	400248755	9628385280	1000000	25
vroom	dplyr	aggregate	real	1.0485470294952393	400248755	9628385280	1000000	25
vroom_no_altrep	dplyr	setup	process	0.36160141099999965	400248755	11019812864	1000000	25
