exprs	process	real	size	rows	cols	max_memory
library(vroom)	0.18413646200000056	0.1871812343597412	19747530143	173179759	11	89082126336
"x <- vroom(file, id = ""path"", col_types = c(pickup_datetime = ""c""), trim_ws =..."	181.279715365	5.71256685256958	19747530143	173179759	11	89082126336
print(head(x, 10))	2.4449159950000023	2.4596128463745117	19747530143	173179759	11	89082126336
a <- head(x)	2.2071699999060002e-4	2.219676971435547e-4	19747530143	173179759	11	89082126336
b <- tail(x)	4.353429999923719e-4	4.367828369140625e-4	19747530143	173179759	11	89082126336
c <- x[sample(NROW(x), 100), ]	2.4411999999074396e-4	2.455711364746094e-4	19747530143	173179759	11	89082126336
"d <- x[x$payment_type == ""UNK"", ]"	21.468220149000018	21.46798062324524	19747530143	173179759	11	89082126336
e <- tapply(x$tip_amount, x$payment_type, mean)	163.71368930300002	139.21907567977905	19747530143	173179759	11	89082126336
