exprs	process	real	size	rows	cols	max_memory
library(data.table)	0.06033271200000012	0.060333967208862305	19747530143	173179759	11	70943477760
"x <- rbindlist(idcol = ""path"", lapply(stats::setNames(file, file), fread, sep..."	449.15196191900003	306.3063349723816	19747530143	173179759	11	70943477760
print(x)	0.07264982600003123	0.006371259689331055	19747530143	173179759	11	70943477760
a <- head(x)	3.0491900002971306e-4	3.070831298828125e-4	19747530143	173179759	11	70943477760
b <- tail(x)	2.7696299997614915e-4	2.789497375488281e-4	19747530143	173179759	11	70943477760
c <- x[sample(NROW(x), 100), ]	7.60117000027094e-4	7.624626159667969e-4	19747530143	173179759	11	70943477760
"d <- x[payment_type == ""UNK"", ]"	5.1766159380000545	1.1340596675872803	19747530143	173179759	11	70943477760
e <- x[, .(mean(tip_amount)), by = payment_type]	28.370850088999987	10.951777458190918	19747530143	173179759	11	70943477760
