exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.3584643319999996	0.3620333671569824	1600080624	100000	1000	19072102400
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	212.94273907899998	201.44985151290894	1600080624	100000	1000	19072102400
print(x)	0.159952603999983	0.15995144844055176	1600080624	100000	1000	19072102400
a <- head(x)	0.0018684439999958613	0.0018696784973144531	1600080624	100000	1000	19072102400
b <- tail(x)	0.0022194160000026386	0.0022211074829101562	1600080624	100000	1000	19072102400
c <- sample_n(x, 100)	0.022351329000002806	0.02235245704650879	1600080624	100000	1000	19072102400
"d <- filter(x, X1 == ""helpless_sheep"")"	0.03099334300000578	0.030994176864624023	1600080624	100000	1000	19072102400
e <- group_by(x, X1) %>% summarise(avg_nchar = mean(nchar(X2)))	0.055467716999999084	0.05546832084655762	1600080624	100000	1000	19072102400
