exprs	process	real	size	rows	cols	max_memory
library(vroom)	0.1868447050000004	0.1904466152191162	1600080624	100000	1000	13476024320
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	10.673775032999998	0.6465282440185547	1600080624	100000	1000	13476024320
print(x)	0.17470492600000043	0.17470335960388184	1600080624	100000	1000	13476024320
a <- head(x)	0.0033220420000006357	0.0033235549926757812	1600080624	100000	1000	13476024320
b <- tail(x)	0.003522237000002093	0.003523588180541992	1600080624	100000	1000	13476024320
c <- x[sample(NROW(x), 100), ]	0.004282395000000605	0.0042836666107177734	1600080624	100000	1000	13476024320
"d <- x[x$X1 == ""helpless_sheep"", ]"	0.04342287400000089	0.04342341423034668	1600080624	100000	1000	13476024320
e <- tapply(x$X2, x$X1, function(x) mean(nchar(x)))	0.17977399899999824	0.1797807216644287	1600080624	100000	1000	13476024320
