exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.37553841200000004	0.37876415252685547	1600080624	100000	1000	13486485504
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	10.712703886	0.5582377910614014	1600080624	100000	1000	13486485504
print(x)	0.15362645499999772	0.15362548828125	1600080624	100000	1000	13486485504
a <- head(x)	0.003074081999997702	0.0030753612518310547	1600080624	100000	1000	13486485504
b <- tail(x)	0.003158011000000016	0.0031595230102539062	1600080624	100000	1000	13486485504
c <- sample_n(x, 100)	0.01871262400000262	0.018713712692260742	1600080624	100000	1000	13486485504
"d <- filter(x, X1 == ""helpless_sheep"")"	0.05456592699999874	0.05456686019897461	1600080624	100000	1000	13486485504
e <- group_by(x, X1) %>% summarise(avg_nchar = mean(nchar(X2)))	0.11496009900000104	0.11496734619140625	1600080624	100000	1000	13486485504
