exprs	process	real	size	rows	cols	max_memory
library(data.table)	0.05989797599999935	0.05989956855773926	1600080624	100000	1000	20669239296
"x <- fread(file, sep = ""\t"", quote = """", strip.white = FALSE, na.strings = NULL)"	148.760175178	144.5452835559845	1600080624	100000	1000	20669239296
print(x)	0.2816173609999737	0.19903111457824707	1600080624	100000	1000	20669239296
a <- head(x)	8.784100000127637e-4	8.809566497802734e-4	1600080624	100000	1000	20669239296
b <- tail(x)	7.704280000098152e-4	7.729530334472656e-4	1600080624	100000	1000	20669239296
c <- x[sample(NROW(x), 100), ]	0.12488474100001667	0.02433037757873535	1600080624	100000	1000	20669239296
"d <- x[X1 == ""helpless_sheep"", ]"	0.2779573099999766	0.13144421577453613	1600080624	100000	1000	20669239296
e <- x[, .(mean(nchar(X2))), by = X1]	0.1067843749999895	0.02781224250793457	1600080624	100000	1000	20669239296
