exprs	process	real	size	rows	cols	max_memory
({ library(arrow) library(dplyr) })	0.4340549550000006	0.437652587890625	1600080624	100000	1000	27766071296
"x <- read_tsv_arrow(file, quote = """", na = character())"	235.552119759	147.49573874473572	1600080624	100000	1000	27766071296
print(x)	0.1547838390000038	0.15478825569152832	1600080624	100000	1000	27766071296
a <- head(x)	0.001959962999990239	0.001963376998901367	1600080624	100000	1000	27766071296
b <- tail(x)	0.0021315779999895312	0.0021347999572753906	1600080624	100000	1000	27766071296
c <- sample_n(x, 100)	0.023030975000011722	0.023033618927001953	1600080624	100000	1000	27766071296
"d <- filter(x, X1 == ""helpless_sheep"")"	0.03070092999999474	0.030704975128173828	1600080624	100000	1000	27766071296
e <- group_by(x, X1) %>% summarise(avg_nchar = mean(nchar(X2)))	0.056055791000005684	0.05605816841125488	1600080624	100000	1000	27766071296
