exprs	process	real	size	rows	cols	max_memory
({ library(readr) library(dplyr) })	0.37448477799999935	0.3800787925720215	1600080624	100000	1000	19604860928
"x <- read_tsv(file, trim_ws = FALSE, quote = """", na = character())"	259.54229450099996	259.56168365478516	1600080624	100000	1000	19604860928
print(x)	0.15874996700000565	0.15874862670898438	1600080624	100000	1000	19604860928
a <- head(x)	0.0019849779999958628	0.0019865036010742188	1600080624	100000	1000	19604860928
b <- tail(x)	0.002280391999988751	0.002281665802001953	1600080624	100000	1000	19604860928
c <- sample_n(x, 100)	0.022896290000005592	0.02289748191833496	1600080624	100000	1000	19604860928
"d <- filter(x, X1 == ""helpless_sheep"")"	0.03083108800001355	0.030832290649414062	1600080624	100000	1000	19604860928
e <- group_by(x, X1) %>% summarise(avg_nchar = mean(nchar(X2)))	0.06957426499997155	0.06957435607910156	1600080624	100000	1000	19604860928
