exprs	process	real	size	rows	cols	max_memory
({ })	3.3879999996599963e-6	5.0067901611328125e-6	1600080624	100000	1000	20485091328
"x <- read.delim(file, quote = """", na.strings = NULL, stringsAsFactors = FALSE)"	475.374802702	475.4689607620239	1600080624	100000	1000	20485091328
print(head(x, 10))	0.1914789369999994	0.19147682189941406	1600080624	100000	1000	20485091328
a <- head(x)	0.008008689999996932	0.008010149002075195	1600080624	100000	1000	20485091328
b <- tail(x)	0.008342901999981223	0.008343935012817383	1600080624	100000	1000	20485091328
c <- x[sample(NROW(x), 100), ]	0.023179106000043248	0.023180246353149414	1600080624	100000	1000	20485091328
"d <- x[x$X1 == ""helpless_sheep"", ]"	0.19238744000000452	0.19239115715026855	1600080624	100000	1000	20485091328
e <- tapply(x$X2, x$X1, function(x) mean(nchar(x)))	0.06152969499999017	0.061530351638793945	1600080624	100000	1000	20485091328
