exprs	process	real	size	rows	cols	max_memory
"{ library(vroom) data <- vroom(file, col_types = c(pickup_datetime = ""c"")) vr..."	46.497886659	15.511685848236084	1712562547	15004556	11	13192425472
"{ con <- pipe(sprintf(""pigz > %s"", tempfile(fileext = "".gz"")), ""wb"") write.ta..."	120.734101364	120.7721176147461	1712562547	15004556	11	13192425472
